season,week,game_id,matchup,home,away,type,pick_team,units,status,result,profit
2025,9,2025_09_MIN_DET,MIN @ DET,DET,MIN,spread,DET,2.1,GRADED,LOSS,-2.1
2025,9,2025_09_DEN_HOU,DEN @ HOU,HOU,DEN,moneyline,HOU ML,0.1,GRADED,LOSS,-0.1
2025,9,2025_09_IND_PIT,IND @ PIT,PIT,IND,total,OVER,4.8,GRADED,LOSS,-4.8
2025,9,2025_09_ARI_DAL,ARI @ DAL,DAL,ARI,spread,DAL,2.2,GRADED,LOSS,-2.2
2025,9,2025_09_ARI_DAL,ARI @ DAL,DAL,ARI,moneyline,DAL ML,0.1,GRADED,LOSS,-0.1
2025,10,2025_10_NYG_CHI,NYG @ CHI,CHI,NYG,spread,CHI,2.0,GRADED,LOSS,-2.0
2025,10,2025_10_NYG_CHI,NYG @ CHI,CHI,NYG,moneyline,CHI ML,0.1,GRADED,WIN,0.05
2025,10,2025_10_NE_TB,NE @ TB,TB,NE,spread,NE,1.9,GRADED,WIN,1.73
2025,10,2025_10_ARI_SEA,ARI @ SEA,SEA,ARI,spread,SEA,2.6,GRADED,WIN,2.36
2025,10,2025_10_ARI_SEA,ARI @ SEA,SEA,ARI,total,OVER,4.8,GRADED,WIN,4.36
2025,10,2025_10_ARI_SEA,ARI @ SEA,SEA,ARI,moneyline,SEA ML,0.1,GRADED,WIN,0.03
2025,11,2025_11_NYJ_NE,NYJ @ NE,NE,NYJ,spread,NE,2.4,GRADED,WIN,2.18
2025,11,2025_11_TB_BUF,TB @ BUF,BUF,TB,spread,TB,2.6,GRADED,LOSS,-2.6
2025,11,2025_11_LAC_JAX,LAC @ JAX,JAX,LAC,spread,JAX,1.8,GRADED,WIN,1.64
2025,11,2025_11_GB_NYG,GB @ NYG,NYG,GB,total,OVER,4.8,GRADED,WIN,4.36
2025,11,2025_11_CIN_PIT,CIN @ PIT,PIT,CIN,total,UNDER,4.8,GRADED,WIN,4.36
2025,11,2025_11_DET_PHI,DET @ PHI,PHI,DET,spread,DET,2.0,GRADED,LOSS,-2.0
2025,11,2025_11_DAL_LV,DAL @ LV,LV,DAL,moneyline,DAL ML,0.1,GRADED,WIN,0.05
2025,12,2025_12_BUF_HOU,BUF @ HOU,HOU,BUF,moneyline,BUF ML,0.1,GRADED,LOSS,-0.1
2025,12,2025_12_MIN_GB,MIN @ GB,GB,MIN,moneyline,GB ML,0.1,GRADED,WIN,0.03
2025,12,2025_12_CLE_LV,CLE @ LV,LV,CLE,spread,LV,2.0,GRADED,LOSS,-2.0
2025,12,2025_12_TB_LA,TB @ LA,LA,TB,moneyline,LA ML,0.1,GRADED,WIN,0.03
2025,12,2025_12_CAR_SF,CAR @ SF,SF,CAR,moneyline,SF ML,0.1,GRADED,WIN,0.03
2025,13,2025_13_GB_DET,GB @ DET,DET,GB,spread,GB,1.9,GRADED,WIN,1.73
2025,13,2025_13_SF_CLE,SF @ CLE,CLE,SF,moneyline,SF ML,0.1,GRADED,WIN,0.04
2025,13,2025_13_ATL_NYJ,ATL @ NYJ,NYJ,ATL,spread,NYJ,1.9,GRADED,WIN,1.73
2025,13,2025_13_JAX_TEN,JAX @ TEN,TEN,JAX,total,UNDER,4.8,GRADED,WIN,4.36
2025,13,2025_13_MIN_SEA,MIN @ SEA,SEA,MIN,spread,SEA,2.6,GRADED,WIN,2.36
2025,14,2025_14_SEA_ATL,SEA @ ATL,ATL,SEA,moneyline,SEA ML,0.1,GRADED,WIN,0.03
2025,14,2025_14_CIN_BUF,CIN @ BUF,BUF,CIN,spread,CIN,2.5,GRADED,WIN,2.27
2025,14,2025_14_CIN_BUF,CIN @ BUF,BUF,CIN,moneyline,CIN ML,0.1,GRADED,LOSS,-0.1
2025,14,2025_14_WAS_MIN,WAS @ MIN,MIN,WAS,spread,WAS,2.1,GRADED,LOSS,-2.1
2025,14,2025_14_WAS_MIN,WAS @ MIN,MIN,WAS,moneyline,WAS ML,0.1,GRADED,LOSS,-0.1
2025,14,2025_14_DEN_LV,DEN @ LV,LV,DEN,spread,LV,4.8,GRADED,WIN,4.36
2025,14,2025_14_DEN_LV,DEN @ LV,LV,DEN,moneyline,LV ML,0.1,GRADED,LOSS,-0.1
2025,15,2025_15_CLE_CHI,CLE @ CHI,CHI,CLE,spread,CHI,2.9,GRADED,WIN,2.64
2025,15,2025_15_CLE_CHI,CLE @ CHI,CHI,CLE,total,OVER,4.8,GRADED,LOSS,-4.8
2025,15,2025_15_CLE_CHI,CLE @ CHI,CHI,CLE,moneyline,CHI ML,0.1,GRADED,WIN,0.03
2025,15,2025_15_BUF_NE,BUF @ NE,NE,BUF,moneyline,BUF ML,0.1,GRADED,WIN,0.07
2025,15,2025_15_CAR_NO,CAR @ NO,NO,CAR,moneyline,CAR ML,0.1,GRADED,LOSS,-0.1
2025,16,2025_16_LAC_DAL,LAC @ DAL,DAL,LAC,total,UNDER,4.8,GRADED,LOSS,-4.8
2025,16,2025_16_CIN_MIA,CIN @ MIA,MIA,CIN,moneyline,CIN ML,0.1,GRADED,WIN,0.05
2025,16,2025_16_PIT_DET,PIT @ DET,DET,PIT,spread,PIT,2.4,GRADED,WIN,2.18
2025,16,2025_16_LV_HOU,LV @ HOU,HOU,LV,total,OVER,4.8,GRADED,WIN,4.36
2025,16,2025_16_NE_BAL,NE @ BAL,BAL,NE,spread,NE,1.9,GRADED,WIN,1.73
2025,17,2025_17_DEN_KC,DEN @ KC,KC,DEN,spread,KC,2.9,GRADED,WIN,2.64
2025,17,2025_17_BAL_GB,BAL @ GB,GB,BAL,total,OVER,4.8,GRADED,WIN,4.36
2025,17,2025_17_ARI_CIN,ARI @ CIN,CIN,ARI,moneyline,CIN ML,0.1,GRADED,WIN,0.03
2025,17,2025_17_JAX_IND,JAX @ IND,IND,JAX,spread,IND,2.2,GRADED,LOSS,-2.2
2025,17,2025_17_TB_MIA,TB @ MIA,MIA,TB,moneyline,TB ML,0.1,GRADED,LOSS,-0.1
2025,17,2025_17_CHI_SF,CHI @ SF,SF,CHI,spread,SF,1.9,GRADED,WIN,1.73
